cur_prc,trde_qty,trde_prica,dt,open_pric,high_pric,low_pric,pred_pre,pred_pre_sig,trde_tern_rt
57600,35559021,2036157,20250317,55500,57800,55400,+2900,2,+0.60
54700,10845154,594159,20250314,54500,55100,54400,0,3,+0.18
54700,24132151,1327792,20250313,55800,55900,54200,-200,5,+0.41
54900,17973221,983462,20250312,53800,55300,53600,+1300,2,+0.30
53600,17740891,944012,20250311,52500,54100,52500,-100,5,+0.30
53700,12921670,699341,20250310,53500,54800,53500,0,3,+0.22
53700,14274992,768394,20250307,53500,54200,53400,-600,5,+0.24
54300,12258101,664505,20250306,54100,54500,54000,+300,2,+0.21
54000,16578817,902622,20250305,55100,55400,54000,-500,5,+0.28
54500,18553933,1010215,20250304,53900,55000,53800,0,3,+0.31
54500,28036698,1540205,20250228,55400,55700,54500,-1800,5,+0.47
56300,14975356,846531,20250227,56500,57100,56200,-300,5,+0.25
56600,18117091,1024931,20250226,57000,57100,56100,-600,5,+0.30
57200,14625181,837240,20250225,56600,57800,56500,-100,5,+0.24
57300,14138471,811217,20250224,57300,57700,57200,-900,5,+0.24
58200,22198428,1281507,20250221,58400,58500,57100,-200,5,+0.37
58400,21589059,1264910,20250220,59100,59100,58100,-300,5,+0.36
58700,25395151,1481742,20250219,57400,58900,57300,+1800,2,+0.43
56900,22131007,1254588,20250218,56200,57200,55900,+900,2,+0.37
56000,11916027,667146,20250217,56100,56500,55700,0,3,+0.20
56000,23979779,1354475,20250214,56000,57300,56000,+200,2,+0.40
55800,22448377,1256946,20250213,56100,56400,55600,0,3,+0.38
55800,26428596,1460112,20250212,55100,55900,54500,+100,2,+0.44
55700,24596196,1370658,20250211,55500,56300,55000,+100,2,+0.41
55600,27577591,1505751,20250210,53000,55900,52900,+1900,2,+0.46
53700,14476866,779741,20250207,53900,54200,53600,-300,5,+0.24
54000,16466025,881509,20250206,53400,54000,53200,+1100,2,+0.28
52900,15974885,849380,20250205,53600,53800,52800,+200,2,+0.27
52700,27214851,1437276,20250204,51600,53600,51500,+1700,2,+0.46
51000,32344897,1649572,20250203,51100,51400,50800,-1400,5,+0.54
52400,42186279,2207004,20250131,52200,53000,51700,-1300,5,+0.71
53700,11867631,635529,20250124,53600,53800,53200,0,3,+0.20
53700,15588067,837442,20250123,53700,54100,53500,-600,5,+0.26
54300,18341991,984308,20250122,53400,54400,53100,+800,2,+0.31
53500,13535702,726599,20250121,53700,54300,53300,+100,2,+0.23
53400,11822531,633049,20250120,53600,53900,53300,-300,5,+0.20
53700,18805344,1007047,20250117,53800,54100,53200,-600,5,+0.32
54300,18627298,1014923,20250116,54200,55000,54100,+600,2,+0.31
53700,18625025,1005085,20250115,54100,54700,53500,-200,5,+0.31
53900,17465926,944534,20250114,54200,54600,53700,-200,5,+0.29
54100,16868600,917178,20250113,54600,55000,54100,-1200,5,+0.28
55300,16059223,893462,20250110,56100,56500,55200,-800,5,+0.27
56100,24490592,1390326,20250109,57600,57700,56100,-1200,5,+0.41
57300,26593553,1508091,20250108,54800,57500,54700,+1900,2,+0.45
55400,17030235,957162,20250107,56800,57300,55400,-500,5,+0.29
55900,19034284,1058889,20250106,54400,56200,54300,+1500,2,+0.32
54400,19318046,1047542,20250103,52800,55100,52800,+1000,2,+0.32
53400,16630538,878413,20250102,52700,53600,52300,+200,2,+0.28
53200,12624702,675490,20241230,53300,54000,53100,-500,5,+0.21
53700,10747196,576023,20241227,53500,54100,53200,+100,2,+0.18
53600,10517075,567623,20241226,54500,54600,53500,-800,5,+0.18
54400,11634677,629473,20241224,53700,54500,53600,+900,2,+0.19
53500,13672650,733841,20241223,53400,54000,53300,+500,2,+0.23
53000,24674774,1292090,20241220,52700,53100,51900,-100,5,+0.41
